iso,sex,year,bmi,lower95ci,upper95ci,obese_pc,obese_lower95ci,obese_upper95ci
AFG,Men,1975,18.99944015,16.33111938,21.76307681,0.002077545,0.000383525,0.0065154869999999995
COM,Men,1987,21.21223542,19.67878964,22.75529786,0.008316799,0.002736587,0.019085825
COK,Women,1975,28.98816474,26.35985948,31.61257362,0.359538271,0.255615419,0.469956054
DJI,Women,1985,23.54341013,20.42505091,26.70934191,0.09945291099999999,0.054829162,0.15681579699999998
FRA,Women,1995,24.40691151,23.79559093,25.0222244,0.15979036800000002,0.122057375,0.202200488
JPN,Men,1987,22.53064761,22.3380566,22.72270215,0.010893651,0.007790776,0.01474093
MKD,Women,1996,25.42387883,24.09995635,26.77302155,0.183430428,0.128060795,0.247452405
SVK,Women,1990,24.98538281,24.17400683,25.83463937,0.150872811,0.106446513,0.200940743
SWE,Men,1982,24.10647298,23.74825837,24.46210899,0.091508079,0.068023464,0.119301089
AFG,Men,1976,19.10551823,16.50007724,21.80110897,0.002236829,0.00043717,0.006820353
ZWE,Women,2007,25.11425438,24.68012968,25.5578462,0.222229137,0.173663985,0.277527529
ZWE,Women,2008,25.148895,24.70372909,25.60259582,0.226768031,0.17765652399999998,0.28222059
ZWE,Women,2009,25.18266355,24.71842101,25.64687723,0.231245774,0.18184288899999998,0.287980895
ZWE,Women,2010,25.21625778,24.73067548,25.69608191,0.23570716600000002,0.18543660899999997,0.29287175600000004
ZWE,Women,2011,25.25040894,24.73848301,25.75924848,0.24019173300000002,0.188258066,0.29929498600000004
ZWE,Women,2012,25.28484034,24.74320559,25.82159345,0.244698241,0.19082158300000002,0.30524270000000003
ZWE,Women,2013,25.31994849,24.7410242,25.8985617,0.249242485,0.193386043,0.311415014
ZWE,Women,2014,25.35622211,24.72286288,25.98748846,0.25383642100000003,0.195761315,0.318625498
ZWE,Women,2015,25.39340921,24.71960833,26.08443118,0.258484561,0.197569192,0.325453605
ZWE,Women,2016,25.43148733,24.70190747,26.19266639,0.263239664,0.199350517,0.333036197
